1	3	5
4	9	6
6	62	4
62	25	4
25	15	4
15	9	4
62	71	25
71	39	25
39	35	25
35	54	25
54	63	25
54	96	63
96	85	63
85	82	63
82	94	63
82	91	94
82	85	91
54	39	96
39	71	96
71	157	96
54	35	39
62	78	71
78	158	71
78	140	158
62	58	78
62	6	58
7	44	10
44	40	10
40	55	10
40	44	55
19	61	42
61	86	42
86	80	42
86	111	80
111	130	80
47	92	69
128	186	152
186	216	152
133	150	145
150	178	145
178	175	145
175	81	145
178	187	175
178	233	187
233	302	187
178	218	233
218	273	233
218	252	273
252	359	273
359	320	273
252	317	359
252	268	317
178	150	218
141	143	163
146	211	245
155	255	171
159	195	170
195	209	170
164	180	190
199	261	204
204	157	199
157	158	199
158	234	199
234	277	199
277	261	199
277	301	261
277	341	301
158	257	234
158	201	257
261	226	204
226	211	204
265	344	267
281	315	367
315	366	367
282	354	334
294	329	348
329	447	348
304	425	343
304	440	425
339	353	395
353	413	395
413	437	395
437	339	395
413	465	437
465	575	437
575	483	437
360	444	383
386	388	454
388	435	454
388	367	435
389	455	427
455	526	427
526	518	427
518	471	427
518	521	471
521	522	471
518	557	521
518	526	557
526	620	557
620	650	557
650	608	557
650	641	608
650	659	641
659	702	641
702	722	641
722	726	641
726	692	641
722	802	726
722	702	802
702	815	802
815	852	802
852	994	802
994	849	802
852	981	994
981	1200	994
1200	1083	994
981	1162	1200
1162	1296	1200
1162	1227	1296
1162	1012	1227
852	997	981
702	735	815
735	774	815
735	712	774
712	745	774
735	678	712
678	650	712
678	659	650
678	702	659
678	735	702
620	668	650
620	653	668
653	736	668
736	695	668
695	694	668
695	736	694
653	683	736
683	753	736
653	618	683
618	578	683
578	499	683
618	620	578
620	526	578
526	455	578
618	653	620
427	341	389
341	369	389
408	467	481
408	419	467
419	463	467
463	494	467
494	481	467
494	530	481
530	555	481
530	648	555
648	680	555
648	664	680
664	723	680
723	720	680
720	799	680
799	797	680
797	728	680
797	780	728
780	732	728
780	746	732
797	842	780
797	894	842
894	927	842
927	911	842
927	962	911
962	1004	911
962	1031	1004
962	992	1031
992	1091	1031
992	1013	1091
992	927	1013
927	894	1013
992	962	927
664	665	723
665	684	723
664	648	665
648	530	665
443	487	448
